Epochs,Samples Seen,Training Loss,Validation Loss
1,200,2.9086916559934615,2.770562465429306
1,400,2.8094902412593363,2.765004426797231
1,600,2.761490313410759,2.7746853571732837
1,800,2.73687842130661,2.739791256825129
1,1000,2.728965567886829,2.710265984296799
1,1200,2.7263199345270794,2.698514289855957
1,1400,2.723845205221857,2.682855711857478
1,1600,2.7237380672618747,2.688908259789149
1,1800,2.7223105113042725,2.6982495280106864
1,2000,2.717446083366871,2.695025314807892
1,2200,2.717706359110095,2.696481832265854
1,2400,2.7152641611049573,2.6872105424404142
1,2600,2.7132066115507714,2.6896232314109803
1,2800,2.7072233423377785,2.688965564171473
1,3000,2.704652860124906,2.6833339408238728
1,3200,2.7023501297459007,2.686495549837748
1,3400,2.6986430833620183,2.6954386676947277
1,3600,2.6997600842681195,2.667012060324351
1,3800,2.6979489680026707,2.6915708678563437
1,4000,2.6978016316741704,2.6797816520531974
1,4200,2.6997245432507424,2.6756224302450815
1,4400,2.693474320796403,2.6901557952562967
1,4600,2.6886644867127356,2.6809347212314605
1,4800,2.688428809835265,2.692055235783259
1,5000,2.689149199432135,2.6962072274684905
1,5200,2.687863902237553,2.6985507334868113
1,5400,2.6874911130743997,2.6761839871406554
1,5600,2.6877179367467763,2.668842357238134
1,5800,2.6856813692481354,2.6781830767790478
1,6000,2.6870859114875394,2.673350679397583
1,6200,2.6861129421139918,2.6893725380102795
1,6400,2.6827808724483475,2.6729141362508138
1,6600,2.6837549481834424,2.6657501300175985
1,6800,2.681072122301249,2.679416575352351
1,7000,2.6796138047959124,2.678381820042928
1,7200,2.676987434397969,2.6700062222480776
1,7400,2.678019307469194,2.665070131699244
1,7600,2.678745248651034,2.681767869949341
1,7800,2.6798259464173744,2.676809286514918
1,8000,2.679593655731529,2.6815286749204
1,8200,2.680845315452756,2.6601497054894767
1,8400,2.6801868029754785,2.663990202109019
1,8600,2.6808890192210675,2.6653341557184853
1,8800,2.679119956246154,2.6721616311868033
1,9000,2.6794263812137973,2.675864833752314
1,9200,2.679642896088569,2.6709246948560077
1,9400,2.680731732781897,2.6722042280038196
1,9600,2.679695400353521,2.678911682844162
1,9800,2.6780069110101583,2.679667227268219
1,10000,2.678259175384045,2.6817309000492098
1,10200,2.6785235732326322,2.671840248982112
1,10400,2.6776303592553505,2.6722582116921743
1,10600,2.677299006384499,2.6700774756272634
1,10800,2.6767293149343243,2.686756426413854
1,11000,2.6768708771250465,2.6843472202618917
1,11200,2.6760202204702157,2.6815131525993348
1,11400,2.67643549879392,2.675322491486867
1,11600,2.6759666719621626,2.6751660357316336
1,11800,2.6751556512359844,2.674285238345464
1,12000,2.6746843701303007,2.6745130179723104
1,12200,2.672290231541532,2.6903462496598562
1,12400,2.673570543445887,2.6743290673891704
1,12600,2.6734252541689645,2.6828373634020486
2,200,2.1239432233572004,2.6943468736012774
2,400,2.150238479077816,2.7088602817058565
2,600,2.1515255971749623,2.698923230648041
2,800,2.1791942036896943,2.6961916489601134
2,1000,2.179545174986124,2.7111714787483217
2,1200,2.1664629918833573,2.700565543572108
2,1400,2.1863610787263936,2.703327433427175
2,1600,2.20267535245046,2.697750066677729
2,1800,2.2064551984104845,2.7269808332125347
2,2000,2.2077038169950245,2.716763665676117
2,2200,2.2070912309532815,2.716005012989044
2,2400,2.203391417649885,2.7341689298152922
2,2600,2.209065420180559,2.713408015569051
2,2800,2.2139866934610266,2.720897865454356
2,3000,2.2192740342915056,2.7134818452994027
2,3200,2.219039756255224,2.7213421425024666
2,3400,2.2235784304667923,2.7249916093349458
2,3600,2.222907319996092,2.7328482252756756
2,3800,2.2288958876462357,2.733254444519679
2,4000,2.2263442905843256,2.731589555303256
2,4200,2.2262913288672763,2.7215227539539337
2,4400,2.227501405775547,2.7359654586315156
2,4600,2.2291587274489197,2.727466840426127
2,4800,2.2325631046667693,2.7306474414666493
2,5000,2.235583836090565,2.7271172245343527
